departamento,anio,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct
AMAZONAS,2013,,46.3,4.4,19.6,8.6
AMAZONAS,2014,23.4,38.6,3.2,18.8,7.1
AMAZONAS,2015,25.4,35.8,3.5,16.8,6.8
AMAZONAS,2016,25.8,36.6,1.9,15.5,7.4
AMAZONAS,2017,23.9,36.7,3.0,15.8,6.9
AMAZONAS,2018,22.7,33.6,3.8,17.3,7.8
AMAZONAS,2019,28.2,28.9,3.9,17.5,8.1
AMAZONAS,2020,34.3,13.3,2.2,14.5,7.0
AMAZONAS,2021,28.5,28.5,1.8,10.6,3.8
AMAZONAS,2022,29.9,37.6,2.2,13.6,4.9
AMAZONAS,2023,27.1,26.8,2.5,15.2,5.7
AMAZONAS,2024,26.1,25.6,2.0,18.1,5.0
ANCASH,2013,,48.2,17.0,37.6,18.5
ANCASH,2014,15.0,48.8,9.0,29.3,16.6
ANCASH,2015,15.4,41.3,13.8,33.4,16.6
ANCASH,2016,15.1,34.1,15.6,31.4,12.7
ANCASH,2017,16.6,30.1,10.1,23.0,10.2
ANCASH,2018,14.8,29.7,8.5,21.6,9.4
ANCASH,2019,16.3,34.4,8.2,21.8,11.5
ANCASH,2020,27.3,19.8,6.2,15.9,7.6
ANCASH,2021,25.2,27.9,3.0,10.8,5.7
ANCASH,2022,19.0,37.5,5.6,17.4,7.8
ANCASH,2023,20.4,28.8,4.1,17.2,7.0
ANCASH,2024,17.9,31.4,3.4,17.6,7.4
APURIMAC,2013,,68.0,8.1,36.3,20.6
APURIMAC,2014,24.6,66.6,4.3,28.3,17.0
APURIMAC,2015,12.6,64.2,2.7,28.3,17.1
APURIMAC,2016,17.3,61.6,4.1,23.8,14.4
APURIMAC,2017,12.3,54.8,4.6,22.4,13.3
APURIMAC,2018,10.5,49.1,3.2,21.5,12.7
APURIMAC,2019,11.5,54.6,2.6,26.7,17.9
APURIMAC,2020,19.1,24.7,2.6,24.7,15.9
APURIMAC,2021,15.2,43.2,1.5,15.6,7.9
APURIMAC,2022,16.5,49.0,8.2,23.8,9.9
APURIMAC,2023,11.7,43.2,1.4,20.3,12.4
APURIMAC,2024,11.7,45.7,0.7,26.2,13.5
AREQUIPA,2013,,58.0,5.0,35.0,24.6
AREQUIPA,2014,19.4,57.8,2.1,31.2,23.5
AREQUIPA,2015,24.4,57.9,4.2,32.1,23.0
AREQUIPA,2016,21.1,60.5,2.5,28.0,19.7
AREQUIPA,2017,21.7,57.3,4.2,27.0,18.9
AREQUIPA,2018,18.4,56.8,3.2,25.3,18.1
AREQUIPA,2019,17.9,60.0,3.1,26.8,19.9
AREQUIPA,2020,26.7,28.0,1.4,18.5,14.1
AREQUIPA,2021,22.1,56.9,0.8,15.0,10.8
AREQUIPA,2022,19.0,61.6,3.7,25.1,16.4
AREQUIPA,2023,19.8,65.2,5.6,30.4,19.5
AREQUIPA,2024,18.4,65.3,6.1,34.3,19.6
AYACUCHO,2013,,57.4,1.7,26.9,19.9
AYACUCHO,2014,9.1,59.1,1.1,21.8,16.1
AYACUCHO,2015,13.7,57.1,1.0,21.1,17.6
AYACUCHO,2016,14.8,55.6,1.2,27.8,21.1
AYACUCHO,2017,12.3,48.4,3.9,27.8,18.3
AYACUCHO,2018,9.1,48.2,4.7,27.9,18.0
AYACUCHO,2019,10.3,45.0,2.0,24.6,17.7
AYACUCHO,2020,14.9,23.8,2.3,23.3,16.7
AYACUCHO,2021,14.7,45.5,1.9,17.1,9.7
AYACUCHO,2022,12.4,56.1,2.2,20.2,13.6
AYACUCHO,2023,11.1,49.8,1.9,25.1,18.4
AYACUCHO,2024,8.9,50.9,1.1,27.7,19.7
CAJAMARCA,2013,,59.4,7.5,26.8,15.4
CAJAMARCA,2014,22.0,57.0,5.3,24.7,15.1
CAJAMARCA,2015,25.6,50.4,2.4,19.7,12.0
CAJAMARCA,2016,23.3,47.4,2.9,22.0,13.1
CAJAMARCA,2017,27.3,39.2,2.1,17.8,11.5
CAJAMARCA,2018,22.6,40.3,2.6,16.3,10.3
CAJAMARCA,2019,27.7,39.1,1.5,14.4,9.7
CAJAMARCA,2020,38.4,22.8,0.8,13.0,9.5
CAJAMARCA,2021,33.0,43.6,0.5,8.6,4.7
CAJAMARCA,2022,21.0,46.2,0.7,11.5,7.2
CAJAMARCA,2023,21.5,51.4,0.6,14.1,8.8
CAJAMARCA,2024,24.7,46.3,0.5,14.1,7.9
CUSCO,2013,,64.4,13.2,42.7,27.3
CUSCO,2014,15.2,61.6,10.8,34.7,23.4
CUSCO,2015,16.1,61.9,14.5,38.8,24.7
CUSCO,2016,13.6,58.8,12.8,44.0,29.1
CUSCO,2017,11.0,53.8,10.2,38.4,23.5
CUSCO,2018,13.5,56.5,10.6,35.5,21.3
CUSCO,2019,16.8,56.8,8.5,33.9,20.0
CUSCO,2020,27.8,27.5,7.1,32.4,20.5
CUSCO,2021,18.7,53.3,6.9,24.5,13.2
CUSCO,2022,13.4,60.2,7.3,28.6,16.4
CUSCO,2023,14.3,55.6,7.0,29.4,18.7
CUSCO,2024,13.9,49.8,3.8,34.8,20.2
HUANCAVELICA,2013,,51.9,11.8,37.8,22.1
HUANCAVELICA,2014,12.6,45.8,6.2,30.2,18.9
HUANCAVELICA,2015,14.8,47.6,10.1,33.0,19.0
HUANCAVELICA,2016,17.1,43.6,13.2,35.4,20.0
HUANCAVELICA,2017,12.7,41.8,8.1,27.1,14.8
HUANCAVELICA,2018,15.2,43.2,8.9,27.4,13.8
HUANCAVELICA,2019,21.2,42.3,6.4,26.6,16.7
HUANCAVELICA,2020,27.0,19.0,5.7,22.6,14.1
HUANCAVELICA,2021,24.5,34.7,5.1,16.6,7.5
HUANCAVELICA,2022,20.1,42.1,7.4,20.3,11.0
HUANCAVELICA,2023,11.8,35.7,3.6,23.6,13.6
HUANCAVELICA,2024,9.4,33.1,4.1,26.8,13.7
HUANUCO,2013,,59.4,5.9,30.8,18.1
HUANUCO,2014,11.4,56.2,2.3,25.6,17.3
HUANUCO,2015,12.9,55.8,1.7,22.6,15.9
HUANUCO,2016,15.5,46.2,1.3,20.3,13.8
HUANUCO,2017,11.5,43.9,1.5,16.4,10.2
HUANUCO,2018,13.7,45.5,1.3,17.4,11.1
HUANUCO,2019,17.7,38.1,1.4,16.7,11.8
HUANUCO,2020,22.1,18.0,1.4,13.6,8.4
HUANUCO,2021,16.8,35.5,1.4,13.0,7.8
HUANUCO,2022,17.8,40.4,0.8,12.2,8.2
HUANUCO,2023,16.4,38.8,0.4,15.1,10.3
HUANUCO,2024,13.8,41.9,0.5,14.6,8.6
ICA,2013,,61.3,7.1,27.9,16.7
ICA,2014,16.9,63.1,3.3,21.4,14.4
ICA,2015,20.5,63.8,6.2,22.7,14.7
ICA,2016,17.0,63.8,8.3,23.5,13.0
ICA,2017,18.7,62.1,4.1,18.4,11.0
ICA,2018,20.1,61.2,1.9,18.1,11.4
