VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO,departamento,indicador,anio,valor,ambito
18.0,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2014,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2014,18.0,NACIONAL
25.5,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2014,16,DEPARTAMENTO,LORETO,LORETO,confianza_pnp_pct,2014,25.5,DEPARTAMENTO
24.6,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2014,3,DEPARTAMENTO,APURÍMAC,APURIMAC,confianza_pnp_pct,2014,24.6,DEPARTAMENTO
24.5,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2014,25,DEPARTAMENTO,UCAYALI,UCAYALI,confianza_pnp_pct,2014,24.5,DEPARTAMENTO
23.4,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2014,1,DEPARTAMENTO,AMAZONAS,AMAZONAS,confianza_pnp_pct,2014,23.4,DEPARTAMENTO
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2014,24,DEPARTAMENTO,TUMBES,TUMBES,confianza_pnp_pct,2014,23.3,DEPARTAMENTO
22.5,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2014,20,DEPARTAMENTO,PIURA,PIURA,confianza_pnp_pct,2014,22.5,DEPARTAMENTO
22.0,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2014,6,DEPARTAMENTO,CAJAMARCA,CAJAMARCA,confianza_pnp_pct,2014,22.0,DEPARTAMENTO
21.7,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2014,1599,DEPARTAMENTO,REGIÓN LIMA,LIMA,confianza_pnp_pct,2014,21.7,DEPARTAMENTO
19.9,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2014,22,DEPARTAMENTO,SAN MARTÍN,SAN MARTIN,confianza_pnp_pct,2014,19.9,DEPARTAMENTO
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2014,18,DEPARTAMENTO,MOQUEGUA,MOQUEGUA,confianza_pnp_pct,2014,19.8,DEPARTAMENTO
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2014,14,DEPARTAMENTO,LAMBAYEQUE,LAMBAYEQUE,confianza_pnp_pct,2014,19.4,DEPARTAMENTO
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2014,4,DEPARTAMENTO,AREQUIPA,AREQUIPA,confianza_pnp_pct,2014,19.4,DEPARTAMENTO
19.0,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2014,1501,DEPARTAMENTO,LIMA METROPOLITANA,LIMA,confianza_pnp_pct,2014,19.0,DEPARTAMENTO
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2014,13,DEPARTAMENTO,LA LIBERTAD,LA LIBERTAD,confianza_pnp_pct,2014,18.2,DEPARTAMENTO
17.3,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2014,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO,CALLAO,confianza_pnp_pct,2014,17.3,DEPARTAMENTO
16.9,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2014,11,DEPARTAMENTO,ICA,ICA,confianza_pnp_pct,2014,16.9,DEPARTAMENTO
15.2,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2014,8,DEPARTAMENTO,CUSCO,CUSCO,confianza_pnp_pct,2014,15.2,DEPARTAMENTO
15.0,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2014,2,DEPARTAMENTO,ÁNCASH,ANCASH,confianza_pnp_pct,2014,15.0,DEPARTAMENTO
14.9,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2014,23,DEPARTAMENTO,TACNA,TACNA,confianza_pnp_pct,2014,14.9,DEPARTAMENTO
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2014,12,DEPARTAMENTO,JUNÍN,JUNIN,confianza_pnp_pct,2014,14.8,DEPARTAMENTO
14.2,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2014,19,DEPARTAMENTO,PASCO,PASCO,confianza_pnp_pct,2014,14.2,DEPARTAMENTO
12.6,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2014,9,DEPARTAMENTO,HUANCAVELICA,HUANCAVELICA,confianza_pnp_pct,2014,12.6,DEPARTAMENTO
11.4,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2014,10,DEPARTAMENTO,HUÁNUCO,HUANUCO,confianza_pnp_pct,2014,11.4,DEPARTAMENTO
9.4,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2014,17,DEPARTAMENTO,MADRE DE DIOS,MADRE DE DIOS,confianza_pnp_pct,2014,9.4,DEPARTAMENTO
9.1,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2014,5,DEPARTAMENTO,AYACUCHO,AYACUCHO,confianza_pnp_pct,2014,9.1,DEPARTAMENTO
4.4,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2014,21,DEPARTAMENTO,PUNO,PUNO,confianza_pnp_pct,2014,4.4,DEPARTAMENTO
19.3,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2015,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2015,19.3,NACIONAL
26.3,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2015,16,DEPARTAMENTO,LORETO,LORETO,confianza_pnp_pct,2015,26.3,DEPARTAMENTO
25.6,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2015,6,DEPARTAMENTO,CAJAMARCA,CAJAMARCA,confianza_pnp_pct,2015,25.6,DEPARTAMENTO
25.4,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2015,1,DEPARTAMENTO,AMAZONAS,AMAZONAS,confianza_pnp_pct,2015,25.4,DEPARTAMENTO
24.4,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2015,24,DEPARTAMENTO,TUMBES,TUMBES,confianza_pnp_pct,2015,24.4,DEPARTAMENTO
24.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2015,4,DEPARTAMENTO,AREQUIPA,AREQUIPA,confianza_pnp_pct,2015,24.4,DEPARTAMENTO
24.0,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2015,1599,DEPARTAMENTO,REGIÓN LIMA,LIMA,confianza_pnp_pct,2015,24.0,DEPARTAMENTO
23.7,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2015,20,DEPARTAMENTO,PIURA,PIURA,confianza_pnp_pct,2015,23.7,DEPARTAMENTO
22.3,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2015,25,DEPARTAMENTO,UCAYALI,UCAYALI,confianza_pnp_pct,2015,22.3,DEPARTAMENTO
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2015,14,DEPARTAMENTO,LAMBAYEQUE,LAMBAYEQUE,confianza_pnp_pct,2015,21.1,DEPARTAMENTO
20.9,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2015,13,DEPARTAMENTO,LA LIBERTAD,LA LIBERTAD,confianza_pnp_pct,2015,20.9,DEPARTAMENTO
20.6,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2015,18,DEPARTAMENTO,MOQUEGUA,MOQUEGUA,confianza_pnp_pct,2015,20.6,DEPARTAMENTO
20.5,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2015,11,DEPARTAMENTO,ICA,ICA,confianza_pnp_pct,2015,20.5,DEPARTAMENTO
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2015,1501,DEPARTAMENTO,LIMA METROPOLITANA,LIMA,confianza_pnp_pct,2015,19.8,DEPARTAMENTO
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2015,22,DEPARTAMENTO,SAN MARTÍN,SAN MARTIN,confianza_pnp_pct,2015,19.8,DEPARTAMENTO
18.0,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2015,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO,CALLAO,confianza_pnp_pct,2015,18.0,DEPARTAMENTO
16.1,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2015,8,DEPARTAMENTO,CUSCO,CUSCO,confianza_pnp_pct,2015,16.1,DEPARTAMENTO
15.9,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2015,12,DEPARTAMENTO,JUNÍN,JUNIN,confianza_pnp_pct,2015,15.9,DEPARTAMENTO
15.4,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2015,2,DEPARTAMENTO,ÁNCASH,ANCASH,confianza_pnp_pct,2015,15.4,DEPARTAMENTO
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2015,9,DEPARTAMENTO,HUANCAVELICA,HUANCAVELICA,confianza_pnp_pct,2015,14.8,DEPARTAMENTO
14.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2015,23,DEPARTAMENTO,TACNA,TACNA,confianza_pnp_pct,2015,14.7,DEPARTAMENTO
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2015,5,DEPARTAMENTO,AYACUCHO,AYACUCHO,confianza_pnp_pct,2015,13.7,DEPARTAMENTO
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2015,19,DEPARTAMENTO,PASCO,PASCO,confianza_pnp_pct,2015,13.7,DEPARTAMENTO
12.9,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2015,10,DEPARTAMENTO,HUÁNUCO,HUANUCO,confianza_pnp_pct,2015,12.9,DEPARTAMENTO
12.6,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2015,3,DEPARTAMENTO,APURÍMAC,APURIMAC,confianza_pnp_pct,2015,12.6,DEPARTAMENTO
10.6,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2015,17,DEPARTAMENTO,MADRE DE DIOS,MADRE DE DIOS,confianza_pnp_pct,2015,10.6,DEPARTAMENTO
5.9,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2015,21,DEPARTAMENTO,PUNO,PUNO,confianza_pnp_pct,2015,5.9,DEPARTAMENTO
18.0,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2016,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2016,18.0,NACIONAL
25.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2016,1,DEPARTAMENTO,AMAZONAS,AMAZONAS,confianza_pnp_pct,2016,25.8,DEPARTAMENTO
