departamento,anio,poblacion,ubigeo
AMAZONAS,2018,419833,010000
ANCASH,2018,1155451,020000
APURIMAC,2018,427323,030000
AREQUIPA,2018,1428708,040000
AYACUCHO,2018,659061,050000
CAJAMARCA,2018,1438325,060000
CALLAO,2018,1078789,070000
CUSCO,2018,1320530,080000
HUANCAVELICA,2018,376346,090000
HUANUCO,2018,757467,100000
ICA,2018,923175,110000
JUNIN,2018,1335139,120000
LA LIBERTAD,2018,1938501,130000
LAMBAYEQUE,2018,1270295,140000
LIMA,2018,10180641,150000
LORETO,2018,1000350,160000
MADRE DE DIOS,2018,161324,170000
MOQUEGUA,2018,186371,180000
PASCO,2018,271704,190000
PIURA,2018,1974368,200000
PUNO,2018,1236836,210000
SAN MARTIN,2018,866861,220000
TACNA,2018,354644,230000
TUMBES,2018,241321,240000
UCAYALI,2018,558767,250000
AMAZONAS,2019,423863,010000
ANCASH,2019,1169522,020000
APURIMAC,2019,429587,030000
AREQUIPA,2019,1464638,040000
AYACUCHO,2019,664494,050000
CAJAMARCA,2019,1447891,060000
CALLAO,2019,1105512,070000
CUSCO,2019,1340457,080000
HUANCAVELICA,2019,371260,090000
HUANUCO,2019,759851,100000
ICA,2019,950100,110000
JUNIN,2019,1350021,120000
LA LIBERTAD,2019,1979901,130000
LAMBAYEQUE,2019,1292105,140000
LIMA,2019,10416139,150000
LORETO,2019,1015212,160000
MADRE DE DIOS,2019,167674,170000
MOQUEGUA,2019,189781,180000
PASCO,2019,272157,190000
PIURA,2019,2013517,200000
PUNO,2019,1239022,210000
SAN MARTIN,2019,884283,220000
TACNA,2019,363205,230000
TUMBES,2019,246699,240000
UCAYALI,2019,574509,250000
AMAZONAS,2020,426806,010000
ANCASH,2020,1180638,020000
APURIMAC,2020,430736,030000
AREQUIPA,2020,1497438,040000
AYACUCHO,2020,668213,050000
CAJAMARCA,2020,1453711,060000
CALLAO,2020,1129854,070000
CUSCO,2020,1357075,080000
HUANCAVELICA,2020,365317,090000
HUANUCO,2020,760267,100000
ICA,2020,975182,110000
JUNIN,2020,1361467,120000
LA LIBERTAD,2020,2016771,130000
LAMBAYEQUE,2020,1310785,140000
LIMA,2020,10628470,150000
LORETO,2020,1027559,160000
MADRE DE DIOS,2020,173811,170000
MOQUEGUA,2020,192740,180000
PASCO,2020,271904,190000
PIURA,2020,2047954,200000
PUNO,2020,1237997,210000
SAN MARTIN,2020,899648,220000
TACNA,2020,370974,230000
TUMBES,2020,251521,240000
UCAYALI,2020,589110,250000
AMAZONAS,2021,428512,010000
ANCASH,2021,1188391,020000
APURIMAC,2021,430609,030000
