departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct,victimizacion_pct_lag1,percepcion_inseguridad_pct_lag1,confianza_pnp_pct_lag1,victimizacion_robo_pct_lag1,victimizacion_estafa_pct_lag1,brecha_percepcion_victimizacion,victimizacion_alta_q75_anual
AMAZONAS,2018,9193,12,True,116.0,23.0,1903.0,4238.0,279.0,44.0,2590.0,0.012618296529968454,0.0025019036223213314,0.20700533014249972,0.4610029370172958,0.030349178722941367,0.004786250407919069,0.2817361035570543,1.2417137119426922,419833.0,010000,2189.680182358223,,,,22.7,33.6,3.8,17.3,7.8,,,,,,16.3,0
AMAZONAS,2019,9927,12,True,124.0,13.0,2090.0,4149.0,310.0,45.0,3196.0,0.01249118565528357,0.0013095597864410194,0.21053691951244083,0.41795104261106075,0.031227964138208924,0.004533091568449683,0.32195023672811524,1.2536885715495785,423863.0,010000,2342.0303258364142,2189.680182358223,9193.0,0.06957643618718534,28.2,28.9,3.9,17.5,8.1,17.3,33.6,22.7,7.8,3.8,11.399999999999999,0
AMAZONAS,2020,7917,12,True,123.0,16.0,1584.0,3438.0,157.0,30.0,2569.0,0.015536187949981054,0.0020209675382089174,0.20007578628268283,0.43425539977264116,0.019830743968675003,0.0037893141341417205,0.3244916003536693,1.2254844501501105,426806.0,010000,1854.941120790242,2342.0303258364142,9927.0,-0.20797732619974385,34.3,13.3,2.2,14.5,7.0,17.5,28.9,28.2,8.1,3.9,-1.1999999999999993,0
AMAZONAS,2021,8679,12,True,233.0,31.0,1831.0,3618.0,185.0,39.0,2742.0,0.026846410876829128,0.0035718400737412143,0.21096900564581172,0.41686830279986176,0.021315819794907247,0.004493605254061528,0.3159350155547874,1.280621321834276,428512.0,010000,2025.3808528115899,1854.941120790242,7917.0,0.09188417363281975,28.5,28.5,1.8,10.6,3.8,14.5,13.3,34.3,7.0,2.2,17.9,0
AMAZONAS,2022,9057,12,True,312.0,54.0,1858.0,3824.0,247.0,49.0,2713.0,0.03444849287843657,0.0059622391520370984,0.20514519156453573,0.4222148614331456,0.02727172352876228,0.005410179971292923,0.29954731147178976,1.323149128749603,429483.0,010000,2108.814551449068,2025.3808528115899,8679.0,0.041194078892202945,29.9,37.6,2.2,13.6,4.9,10.6,28.5,28.5,3.8,1.8,24.0,0
AMAZONAS,2023,9858,12,True,352.0,159.0,1811.0,4211.0,312.0,42.0,2971.0,0.03570703996753905,0.016129032258064516,0.18370866301481031,0.4271657537025766,0.03164942178940962,0.00426049908703591,0.301379590180564,1.3541858244590588,429943.0,010000,2292.8620770660295,2108.814551449068,9057.0,0.08727534884017829,27.1,26.8,2.5,15.2,5.7,13.6,37.6,29.9,4.9,2.2,11.600000000000001,0
AMAZONAS,2024,9805,12,True,422.0,106.0,1524.0,4565.0,422.0,45.0,2721.0,0.04303926568077512,0.010810810810810811,0.15543090260071393,0.4655787863335033,0.04303926568077512,0.004589495155532891,0.2775114737378888,1.3454307366407825,430123.0,010000,2279.580492091797,2292.8620770660295,9858.0,-0.0057925791119662895,26.1,25.6,2.0,18.1,5.0,15.2,26.8,27.1,5.7,2.5,7.5,0
ANCASH,2018,24372,12,True,347.0,166.0,4251.0,9678.0,1414.0,32.0,8484.0,0.014237649762021992,0.006811094698834728,0.17442146725750862,0.397095027080256,0.058017397012965696,0.0013129821106187428,0.3481043820777942,1.3070828683561628,1155451.0,020000,2109.306236266185,,,,14.8,29.7,8.5,21.6,9.4,,,,,,8.099999999999998,0
ANCASH,2019,31583,12,True,528.0,187.0,5624.0,11871.0,1761.0,42.0,11570.0,0.016717854542000442,0.0059209068169584905,0.17807048095494413,0.3758667637653168,0.05575784440996739,0.0013298293385682171,0.36633632017224455,1.311476277086278,1169522.0,020000,2700.504992638018,2109.306236266185,24372.0,0.28028113993459347,16.3,34.4,8.2,21.8,11.5,21.6,29.7,14.8,9.4,8.5,12.599999999999998,0
ANCASH,2020,24351,12,True,618.0,123.0,3201.0,9487.0,977.0,26.0,9919.0,0.025378834544782555,0.005051127263767402,0.131452507083898,0.38959385651513284,0.04012155558293294,0.0010677179581947353,0.40733440105129154,1.2560968837480697,1180638.0,020000,2062.528903863843,2700.504992638018,31583.0,-0.23624325469250884,27.3,19.8,6.2,15.9,7.6,21.8,34.4,16.3,11.5,8.2,3.9000000000000004,0
