VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO
18,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2014,0,NACIONAL,NACIONAL
25.5,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2014,16,DEPARTAMENTO,LORETO
24.6,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2014,3,DEPARTAMENTO,APURÍMAC
24.5,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2014,25,DEPARTAMENTO,UCAYALI
23.4,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2014,1,DEPARTAMENTO,AMAZONAS
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2014,24,DEPARTAMENTO,TUMBES
22.5,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2014,20,DEPARTAMENTO,PIURA
22,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2014,6,DEPARTAMENTO,CAJAMARCA
21.7,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2014,1599,DEPARTAMENTO,REGIÓN LIMA
19.9,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2014,22,DEPARTAMENTO,SAN MARTÍN
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2014,18,DEPARTAMENTO,MOQUEGUA
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2014,14,DEPARTAMENTO,LAMBAYEQUE
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2014,4,DEPARTAMENTO,AREQUIPA
19,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2014,1501,DEPARTAMENTO,LIMA METROPOLITANA
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2014,13,DEPARTAMENTO,LA LIBERTAD
17.3,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2014,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
16.9,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2014,11,DEPARTAMENTO,ICA
15.2,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2014,8,DEPARTAMENTO,CUSCO
15,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2014,2,DEPARTAMENTO,ÁNCASH
14.9,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2014,23,DEPARTAMENTO,TACNA
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2014,12,DEPARTAMENTO,JUNÍN
14.2,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2014,19,DEPARTAMENTO,PASCO
12.6,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2014,9,DEPARTAMENTO,HUANCAVELICA
11.4,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2014,10,DEPARTAMENTO,HUÁNUCO
9.4,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2014,17,DEPARTAMENTO,MADRE DE DIOS
9.1,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2014,5,DEPARTAMENTO,AYACUCHO
4.4,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2014,21,DEPARTAMENTO,PUNO
19.3,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2015,0,NACIONAL,NACIONAL
26.3,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2015,16,DEPARTAMENTO,LORETO
25.6,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2015,6,DEPARTAMENTO,CAJAMARCA
25.4,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2015,1,DEPARTAMENTO,AMAZONAS
24.4,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2015,24,DEPARTAMENTO,TUMBES
24.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2015,4,DEPARTAMENTO,AREQUIPA
24,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2015,1599,DEPARTAMENTO,REGIÓN LIMA
23.7,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2015,20,DEPARTAMENTO,PIURA
22.3,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2015,25,DEPARTAMENTO,UCAYALI
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2015,14,DEPARTAMENTO,LAMBAYEQUE
20.9,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2015,13,DEPARTAMENTO,LA LIBERTAD
20.6,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2015,18,DEPARTAMENTO,MOQUEGUA
20.5,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2015,11,DEPARTAMENTO,ICA
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2015,1501,DEPARTAMENTO,LIMA METROPOLITANA
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2015,22,DEPARTAMENTO,SAN MARTÍN
18,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2015,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
16.1,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2015,8,DEPARTAMENTO,CUSCO
15.9,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2015,12,DEPARTAMENTO,JUNÍN
15.4,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2015,2,DEPARTAMENTO,ÁNCASH
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2015,9,DEPARTAMENTO,HUANCAVELICA
14.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2015,23,DEPARTAMENTO,TACNA
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2015,5,DEPARTAMENTO,AYACUCHO
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2015,19,DEPARTAMENTO,PASCO
12.9,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2015,10,DEPARTAMENTO,HUÁNUCO
12.6,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2015,3,DEPARTAMENTO,APURÍMAC
10.6,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2015,17,DEPARTAMENTO,MADRE DE DIOS
5.9,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2015,21,DEPARTAMENTO,PUNO
18,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2016,0,NACIONAL,NACIONAL
25.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2016,1,DEPARTAMENTO,AMAZONAS
25,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2016,14,DEPARTAMENTO,LAMBAYEQUE
24.1,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2016,24,DEPARTAMENTO,TUMBES
23.6,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2016,20,DEPARTAMENTO,PIURA
23.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2016,16,DEPARTAMENTO,LORETO
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2016,6,DEPARTAMENTO,CAJAMARCA
22.8,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2016,13,DEPARTAMENTO,LA LIBERTAD
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2016,4,DEPARTAMENTO,AREQUIPA
19.7,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2016,18,DEPARTAMENTO,MOQUEGUA
19,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2016,22,DEPARTAMENTO,SAN MARTÍN
19,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2016,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
18.5,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2016,25,DEPARTAMENTO,UCAYALI
17.8,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2016,1599,DEPARTAMENTO,REGIÓN LIMA
17.3,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2016,3,DEPARTAMENTO,APURÍMAC
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2016,9,DEPARTAMENTO,HUANCAVELICA
17,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2016,11,DEPARTAMENTO,ICA
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2016,1501,DEPARTAMENTO,LIMA METROPOLITANA
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2016,23,DEPARTAMENTO,TACNA
15.5,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2016,10,DEPARTAMENTO,HUÁNUCO
15.1,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2016,2,DEPARTAMENTO,ÁNCASH
