,count,mean,std,min,25%,50%,75%,max
anio,182.0,2021.0,2.0055172518614275,2018.0,2019.0,2021.0,2023.0,2024.0
denuncias_total,182.0,32804.41208791209,56601.338781684026,1932.0,9945.25,17515.0,33983.25,377345.0
meses_observados,182.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
denuncias_estafa,182.0,868.5054945054945,1936.27719851069,27.0,161.75,385.5,784.75,16227.0
denuncias_extorsion,182.0,408.27472527472526,1206.2904515044493,2.0,31.0,91.5,264.0,10197.0
denuncias_hurto,182.0,6521.258241758242,13087.111421695849,263.0,1570.5,3460.5,5750.0,93690.0
denuncias_otros,182.0,11601.857142857143,17416.60549135099,760.0,3957.75,6720.5,12521.75,117210.0
denuncias_robo,182.0,3448.5274725274726,8904.181167388275,72.0,397.25,1031.5,2938.5,71767.0
denuncias_secuestro,182.0,45.14835164835165,78.72895647998992,1.0,15.25,29.5,44.0,514.0
denuncias_violencia_contra_la_mujer_e_integrantes,182.0,9910.84065934066,15240.193586881716,777.0,3129.75,5994.0,10746.25,94438.0
prop_estafa,182.0,0.023057978350157392,0.010511532982834006,0.0034598555001526406,0.014365009093867271,0.02192355407465065,0.030407148357678913,0.04996858841154014
prop_extorsion,182.0,0.009037074635190814,0.011483421344330847,0.00042363905952128787,0.002136557714532675,0.0050046868051613624,0.01111004416064439,0.0886615515771526
prop_hurto,182.0,0.17870892341171143,0.04458372299593038,0.0673837102408531,0.1478843142872778,0.17619754717386665,0.20774826546360253,0.2927536231884058
prop_otros,182.0,0.3832030621704918,0.0560889573147305,0.25504423823910227,0.34037199407271057,0.38222754675998416,0.4212200454503707,0.5256099118661387
prop_robo,182.0,0.07229420230604237,0.043304123321971824,0.013881228166942452,0.03654245085869855,0.057042114364239845,0.1021002868802533,0.1923915090532433
prop_secuestro,182.0,0.0015193669265164713,0.0008468625262499605,0.00012773023374632777,0.0010445814959581525,0.0013355179548211024,0.001732735835528232,0.005410179971292923
prop_violencia_contra_la_mujer_e_integrantes,182.0,0.3321793921998897,0.07201971762804643,0.16772759742836732,0.27854255601431543,0.3245706995622276,0.38394937416910724,0.4949439235153521
diversidad_modalidades,182.0,1.3331879625132423,0.11456962176710987,1.0349446284189583,1.2431660212611704,1.3432951701874494,1.4136037348049315,1.607143031123612
poblacion,161.0,913039.7577639752,561698.7128071949,161324.0,390279.0,912674.0,1350021.0,2149978.0
denuncias_tasa_100k,161.0,2399.2204247555783,864.4444443430028,513.3573892109921,1764.6958972008624,2313.0934363049296,2944.7287892328104,4647.569378890219
denuncias_tasa_100k_lag1,138.0,2351.774163730665,859.4780286149494,513.3573892109921,1734.1286706326505,2259.0147430911043,2883.4471492978305,4647.569378890219
denuncias_total_lag1,156.0,31769.79487179487,54323.13629001419,1932.0,9909.75,16693.0,32984.25,377345.0
denuncias_tasa_yoy,138.0,0.062072456257973335,0.16325312225934618,-0.3003218252553691,-0.027890621038325458,0.089521235630028,0.1695532240653384,0.6341322672721217
confianza_pnp_pct,182.0,20.114835164835164,6.866682289380148,5.8,16.225,19.65,24.5,39.7
percepcion_inseguridad_pct,182.0,47.18296703296703,14.791291524415072,12.5,36.025000000000006,49.0,59.2,76.7
victimizacion_estafa_pct,182.0,3.9357142857142855,2.6381161212686517,0.2,2.2,3.4,5.1,15.7
victimizacion_pct,182.0,21.61153846153846,7.103234719225677,8.4,16.3,20.4,26.6,40.6
victimizacion_robo_pct,182.0,12.713736263736262,5.19209751169437,2.5,8.9,11.55,16.675,25.0
victimizacion_pct_lag1,156.0,21.137179487179484,7.112444504675776,8.4,15.875,20.1,25.925,40.6
percepcion_inseguridad_pct_lag1,156.0,46.53846153846154,14.906064847261641,12.5,35.3,48.7,58.35,75.9
confianza_pnp_pct_lag1,156.0,20.512179487179484,6.8597502347902966,5.8,16.475,20.25,24.7,39.7
victimizacion_robo_pct_lag1,156.0,12.673717948717949,5.214843729195903,2.5,8.875,11.55,16.625,25.0
victimizacion_estafa_pct_lag1,156.0,4.062820512820513,2.737109800117469,0.2,2.2,3.45,5.225,15.7
brecha_percepcion_victimizacion,182.0,25.571428571428573,12.813147475314233,-5.699999999999999,17.299999999999997,27.049999999999997,35.175,52.0
victimizacion_alta_q75_anual,182.0,0.2692307692307692,0.44478371618815515,0.0,0.0,0.0,1.0,1.0
