,nulls
departamento,0
anio,0
denuncias_total,0
meses_observados,0
anio_completo,0
denuncias_estafa,0
denuncias_extorsion,0
denuncias_hurto,0
denuncias_otros,0
denuncias_robo,0
denuncias_secuestro,0
denuncias_violencia_contra_la_mujer_e_integrantes,0
prop_estafa,0
prop_extorsion,0
prop_hurto,0
prop_otros,0
prop_robo,0
prop_secuestro,0
prop_violencia_contra_la_mujer_e_integrantes,0
diversidad_modalidades,0
poblacion,21
ubigeo,21
denuncias_tasa_100k,21
denuncias_tasa_100k_lag1,44
denuncias_total_lag1,26
denuncias_tasa_yoy,44
confianza_pnp_pct,0
percepcion_inseguridad_pct,0
victimizacion_estafa_pct,0
victimizacion_pct,0
victimizacion_robo_pct,0
victimizacion_pct_lag1,26
percepcion_inseguridad_pct_lag1,26
confianza_pnp_pct_lag1,26
victimizacion_robo_pct_lag1,26
victimizacion_estafa_pct_lag1,26
brecha_percepcion_victimizacion,0
victimizacion_alta_q75_anual,0
